site,year,month,day,temp_1m_C
Buckhorn,2009,3,19,7.292853949
Buckhorn,2009,3,20,7.415625608
Buckhorn,2009,3,21,3.975459264
Buckhorn,2009,3,22,4.138353253
Buckhorn,2009,3,23,2.316575083
Buckhorn,2009,3,24,5.421315253
Buckhorn,2009,3,25,4.646351888
Buckhorn,2009,3,26,5.229763505
Buckhorn,2009,3,27,5.806012247
Buckhorn,2009,3,28,2.444184079
Buckhorn,2009,3,29,4.98319628
Buckhorn,2009,3,30,4.072223576
Buckhorn,2009,3,31,4.809278716
Buckhorn,2009,4,1,2.923489312
Buckhorn,2009,4,2,5.391915441
Buckhorn,2009,4,3,4.467276675
Buckhorn,2009,4,4,6.61258942
Buckhorn,2009,4,5,12.66523701
Buckhorn,2009,4,6,13.83404619
Buckhorn,2009,4,7,12.76605353
Buckhorn,2009,4,8,8.451081119
Buckhorn,2009,4,9,7.465212204
Buckhorn,2009,4,10,6.995073676
Buckhorn,2009,4,11,7.540094694
Buckhorn,2009,4,12,7.974064262
Buckhorn,2009,4,13,3.756054443
Buckhorn,2009,4,14,4.211699377
Buckhorn,2009,4,15,6.106377455
Buckhorn,2009,4,16,8.071349709
Buckhorn,2009,4,17,9.225524937
Buckhorn,2009,4,18,8.037426067
Buckhorn,2009,4,19,13.58123481
Buckhorn,2009,4,20,15.3445025
Buckhorn,2009,4,21,15.7677686
Buckhorn,2009,4,22,7.519706849
Buckhorn,2009,4,23,5.941198822
Buckhorn,2009,4,24,7.866018626
Buckhorn,2009,4,25,6.719600128
Buckhorn,2009,4,26,7.674903789
Buckhorn,2009,4,27,8.047670099
Buckhorn,2009,4,28,6.984607229
Buckhorn,2009,4,29,7.384738517
Buckhorn,2009,4,30,10.03022586
Buckhorn,2009,5,1,14.64924256
Buckhorn,2009,5,2,11.37889024
Buckhorn,2009,5,3,10.17903012
Buckhorn,2009,5,4,9.250405732
Buckhorn,2009,5,5,9.259392072
Buckhorn,2009,5,6,9.188521609
Buckhorn,2009,5,7,7.661723759
Buckhorn,2009,5,8,8.777624873
Buckhorn,2009,5,9,10.9152656
Buckhorn,2009,5,10,12.16178427
Buckhorn,2009,5,11,9.894454944
Buckhorn,2009,5,12,6.649357483
Buckhorn,2009,5,13,6.088484966
Buckhorn,2009,5,14,10.27934775
Buckhorn,2009,5,15,11.20900894
Buckhorn,2009,5,16,16.80940825
Buckhorn,2009,5,17,17.15629276
Buckhorn,2009,5,18,11.99027808
Buckhorn,2009,5,19,8.469857772
Buckhorn,2009,5,20,10.31860053
Buckhorn,2009,5,21,12.14266177
Buckhorn,2009,5,22,13.84492218
Buckhorn,2009,5,23,12.37342977
Buckhorn,2009,5,24,12.36904197
Buckhorn,2009,5,25,13.12521904
Buckhorn,2009,5,26,12.55279655
Buckhorn,2009,5,27,13.19373736
Buckhorn,2009,5,28,17.38910886
Buckhorn,2009,5,29,20.31665418
Buckhorn,2009,5,30,17.9519351
Buckhorn,2009,5,31,19.83610528
Buckhorn,2009,6,1,18.9352576
Buckhorn,2009,6,2,18.64005362
Buckhorn,2009,6,3,22.50447921
Buckhorn,2009,6,4,22.14125638
Buckhorn,2009,6,5,15.30676422
Buckhorn,2009,6,6,13.90503871
Buckhorn,2009,6,7,13.27210832
Buckhorn,2009,6,8,15.58693991
Buckhorn,2009,6,9,16.9103364
Buckhorn,2009,6,10,16.26050345
Buckhorn,2009,6,11,14.61926805
Buckhorn,2009,6,12,15.9158816
Buckhorn,2009,6,13,14.11050262
Buckhorn,2009,6,14,13.22213027
Buckhorn,2009,6,15,14.85157868
Buckhorn,2009,6,16,15.27089769
Buckhorn,2009,6,17,15.52570136
Buckhorn,2009,6,18,15.62375246
Buckhorn,2009,6,19,13.73951134
Buckhorn,2009,6,20,11.70939846
Buckhorn,2009,6,21,12.63561021
Buckhorn,2009,6,22,12.754193
Buckhorn,2009,6,23,15.22656627
Buckhorn,2009,6,24,16.09784906
Buckhorn,2009,6,25,13.53030574
Buckhorn,2009,6,26,13.04986598
Buckhorn,2009,6,27,15.81805797
Buckhorn,2009,6,28,15.76243261
Buckhorn,2009,6,29,14.95122017
Buckhorn,2009,6,30,15.37519112
Buckhorn,2009,7,1,18.57927406
Buckhorn,2009,7,2,21.60288772
Buckhorn,2009,7,3,22.08586271
Buckhorn,2009,7,4,20.23811987
Buckhorn,2009,7,5,18.6263045
Buckhorn,2009,7,6,13.22052385
Buckhorn,2009,7,7,13.66027518
Buckhorn,2009,7,8,13.3586348
Buckhorn,2009,7,9,15.9268725
Buckhorn,2009,7,10,19.35377113
Buckhorn,2009,7,11,20.44625303
Buckhorn,2009,7,12,13.79413055
Buckhorn,2009,7,13,13.57130927
Buckhorn,2009,7,14,16.14206083
Buckhorn,2009,7,15,19.83179564
Buckhorn,2009,7,16,22.58861319
Buckhorn,2009,7,17,23.39810442
Buckhorn,2009,7,18,18.05747052
Buckhorn,2009,7,19,17.11421454
Buckhorn,2009,7,20,20.53882141
Buckhorn,2009,7,21,21.52262177
Buckhorn,2009,7,22,15.73286679
Buckhorn,2009,7,23,15.03106734
Buckhorn,2009,7,24,17.48649139
Buckhorn,2009,7,25,21.85870966
Buckhorn,2009,7,26,22.36991058
Buckhorn,2009,7,27,27.63501314
Buckhorn,2009,7,28,29.80843845
Buckhorn,2009,7,29,30.43984712
Buckhorn,2009,7,30,23.72801001
Buckhorn,2009,7,31,20.60492519
Buckhorn,2009,8,1,20.7802433
Buckhorn,2009,8,2,22.03683896
Buckhorn,2009,8,3,18.47554805
Buckhorn,2009,8,4,16.6573646
Buckhorn,2009,8,5,15.03389751
Buckhorn,2009,8,6,14.77485023
Buckhorn,2009,8,7,14.0984738
Buckhorn,2009,8,8,15.72586019
Buckhorn,2009,8,9,17.72355854
Buckhorn,2009,8,10,15.988602
Buckhorn,2009,8,11,16.09224727
Buckhorn,2009,8,12,16.25550541
Buckhorn,2009,8,13,13.84769991
Buckhorn,2009,8,14,14.07374246
Buckhorn,2009,8,15,13.71033099
Buckhorn,2009,8,16,15.59941347
Buckhorn,2009,8,17,20.41492854
Buckhorn,2009,8,18,22.68830439
Buckhorn,2009,8,19,25.26693305
Buckhorn,2009,8,20,18.47526565
Buckhorn,2009,8,21,16.81313899
Buckhorn,2009,8,22,16.50416346
Buckhorn,2009,8,23,14.97858317
Buckhorn,2009,8,24,15.445851
Buckhorn,2009,8,25,14.63744069
Buckhorn,2009,8,26,16.43606004
Buckhorn,2009,8,27,19.00057025
Buckhorn,2009,8,28,16.21896685
Buckhorn,2009,8,29,16.53163034
Buckhorn,2009,8,30,17.85059789
Buckhorn,2009,8,31,16.82877814
Buckhorn,2009,9,1,14.05469357
Buckhorn,2009,9,2,16.38586254
Buckhorn,2009,9,3,16.25853946
Buckhorn,2009,9,4,17.2904161
Buckhorn,2009,9,5,14.58329604
Buckhorn,2009,9,6,12.80489556
Buckhorn,2009,9,7,13.50336699
Buckhorn,2009,9,8,13.58877281
Buckhorn,2009,9,9,16.16493386
Buckhorn,2009,9,10,16.75577355
Buckhorn,2009,9,11,20.26202084
Buckhorn,2009,9,12,21.47441629
Buckhorn,2009,9,13,16.79361853
Buckhorn,2009,9,14,16.46998873
Buckhorn,2009,9,15,19.45280352
Buckhorn,2009,9,16,16.68649666
Buckhorn,2009,9,17,15.2131551
Buckhorn,2009,9,18,17.86543538
Buckhorn,2009,9,19,14.73631929
Buckhorn,2009,9,20,13.39445323
Buckhorn,2009,9,21,15.90246532
Buckhorn,2009,9,22,21.20348245
Buckhorn,2009,9,23,19.89760151
Buckhorn,2009,9,24,13.9337565
Buckhorn,2009,9,25,15.70645319
Buckhorn,2009,9,26,13.65360855
Buckhorn,2009,9,27,13.70207519
Buckhorn,2009,9,28,10.26401082
Buckhorn,2009,9,29,8.807558593
Buckhorn,2009,9,30,9.870829604
Buckhorn,2009,10,1,11.12359349
Buckhorn,2009,10,2,10.634892
Buckhorn,2009,10,3,8.098328949
Buckhorn,2009,10,4,11.19913027
Buckhorn,2009,10,5,11.16678885
Buckhorn,2009,10,6,11.69957568
Buckhorn,2009,10,7,11.61522681
Buckhorn,2009,10,8,11.88816146
Buckhorn,2009,10,9,10.55985717
Buckhorn,2009,10,10,10.10084374
Buckhorn,2009,10,11,7.33977433
Buckhorn,2009,10,12,8.104604973
Buckhorn,2009,10,13,8.829164726
Buckhorn,2009,10,14,10.61830129
Buckhorn,2009,10,15,11.86839339
Buckhorn,2009,10,16,15.14855598
Buckhorn,2009,10,17,14.36550224
Buckhorn,2009,10,18,12.53074967
Buckhorn,2009,10,19,10.6088557
Buckhorn,2009,10,20,9.49532763
Buckhorn,2009,10,21,11.14138296
Buckhorn,2009,10,22,8.546259559
Buckhorn,2009,10,23,10.46293336
Buckhorn,2009,10,24,8.570269838
Buckhorn,2009,10,25,7.110929572
Buckhorn,2009,10,26,8.151353099
Buckhorn,2009,10,27,7.068414055
Buckhorn,2009,10,28,4.662112807
